Fecha,Calorias_(kcal),Distancia_(m),Frecuencia_cardiaca_media_(ppm),Frecuencia cardiaca maxima (ppm),Frecuencia cardiaca minima (ppm),Latitud baja (grados),Longitud baja (grados),Latitud alta (grados),Longitud alta (grados),Velocidad media (m/s),Velocidad maxima (m/s),Velocidad minima (m/s),Recuento de pasos,Peso medio (kg),Peso maximo (kg),Peso minimo (kg),Bicicleta duracion (ms),Inactivo duracion (ms),Andar duracion (ms),Correr duracion (ms),Dormir_duracion_(ms),Suenoo ligero duracion (ms),Sueno profundo duracion (ms),Desvelo duracion (ms)
2018-04-23,4767.288007812561,6391.457956850529,0.0,0.0,0.0,9.020208358764648,-79.53221130371094,9.10735034942627,-79.39957427978516,2.0901553344128,42.0,0.2550264596939087,11503.0,0.0,0.0,0.0,0.0,68679017.0,11602676.0,123477.0,0.0,0.0,0.0,0.0
2018-04-24,9731.901697446303,15195.516245007517,0.0,0.0,0.0,9.012080192565918,-79.5326919555664,9.109299659729004,-79.37531280517578,0.9919848942708176,30.0,0.0,17828.0,0.0,0.0,0.0,0.0,26663981.0,17359817.0,10860000.0,0.0,19740000.0,3900000.0,0.0
2018-04-25,10039.070987573266,14829.468535661697,0.0,0.0,0.0,9.019773483276367,-79.53356170654297,9.088420867919922,-79.39989471435547,0.2517386184796808,10.232157707214355,0.0,17600.0,0.0,0.0,0.0,0.0,24951533.0,22993678.0,8460000.0,0.0,22980000.0,2220000.0,0.0
2018-04-26,9718.248584677776,12698.375815078616,84.0,86.0,82.0,9.01961612701416,-79.5330810546875,9.10694408416748,-79.39920806884766,0.2308169041903188,2.5831847190856934,0.0,17486.0,0.0,0.0,0.0,0.0,20069769.0,25268407.0,7440000.0,24360000.0,1800000.0,660000.0,0.0
2018-04-27,7161.342264945789,10452.198544561865,0.0,0.0,0.0,9.017157554626463,-79.53238677978516,9.106776237487793,-79.3995590209961,0.5851217053038842,15.59000015258789,0.0,15725.0,0.0,0.0,0.0,0.0,32768663.0,13043131.0,6060000.0,0.0,18660000.0,5640000.0,840000.0
2018-04-28,10533.698858961949,12729.659836010878,0.0,0.0,0.0,9.050046920776367,-79.47393035888672,9.094270706176758,-79.39946746826172,0.2798596820917242,4.709512233734131,0.0,15153.0,0.0,0.0,0.0,0.0,20608524.0,21675861.0,10980000.0,0.0,24300000.0,5160000.0,960000.0
2018-04-29,8551.860463282657,14000.041591166117,70.0,70.0,70.0,9.050158500671387,-79.45235443115234,9.107365608215332,-79.39923095703125,1.4531640050138352,17.530000686645508,0.0,10386.0,0.0,0.0,0.0,0.0,31031021.0,13952779.0,8700000.0,0.0,28140000.0,3060000.0,0.0
2018-04-30,5081.282265180515,5883.973392914582,0.0,0.0,0.0,9.02177906036377,-79.53227233886719,9.105840682983398,-79.3981704711914,0.5707524268085367,15.380000114440918,0.0,9080.0,0.0,0.0,0.0,0.0,42236448.0,11286158.0,1140000.0,0.0,25080000.0,1560000.0,0.0
2018-05-01,5559.808255850682,4102.742179632187,0.0,0.0,0.0,9.041524887084961,-79.47474670410156,9.107250213623047,-79.4002914428711,1.1879260295712573,11.279999732971193,0.2576495110988617,7216.0,0.0,0.0,0.0,60000.0,73949947.0,8636745.0,3660000.0,0.0,0.0,0.0,0.0
2018-05-02,6390.812505448647,9264.785077571867,0.0,0.0,0.0,9.014554023742676,-79.53252410888672,9.10718822479248,-79.39984893798828,0.8675353501218758,13.43000030517578,0.16474370658397675,14471.0,0.0,0.0,0.0,0.0,40870741.0,14504475.0,3245597.0,21120000.0,0.0,0.0,0.0
2018-05-03,7933.868027117868,8977.732110500336,0.0,0.0,0.0,9.026724815368652,-79.46886444091797,9.100090980529783,-79.39990234375,0.4117958183810826,18.65999984741211,0.0,13708.0,0.0,0.0,0.0,0.0,31979513.0,16870806.0,6420000.0,0.0,21360000.0,4260000.0,0.0
2018-05-04,7013.6379145058,13641.759396648407,0.0,0.0,0.0,8.9756441116333,-79.60982513427734,9.118054389953613,-79.39718627929688,0.3534538132984407,8.989999771118164,0.0,14214.0,0.0,0.0,0.0,0.0,33917944.0,16735712.0,3660000.0,0.0,20640000.0,5160000.0,0.0
2018-05-05,7695.433050328705,10213.749371569771,0.0,0.0,0.0,9.051481246948242,-79.45237731933594,9.10694694519043,-79.3993911743164,0.21617495084941404,3.791048526763916,0.0,11088.0,0.0,0.0,0.0,0.0,25133344.0,17177101.0,5580000.0,0.0,30600000.0,4380000.0,1920000.0
2018-05-06,6439.597085801984,5403.734949867816,0.0,0.0,0.0,9.050344467163086,-79.4504623413086,9.107185363769533,-79.40900421142578,0.3300763364617489,1.9800000190734863,0.0,8095.0,0.0,0.0,0.0,0.0,29800686.0,12402869.0,4380000.0,0.0,36240000.0,2760000.0,0.0
2018-05-07,7818.723323855182,18553.382626155602,0.0,0.0,0.0,9.014211654663086,-79.53251647949219,9.10641384124756,-79.4005126953125,0.7163672784891603,19.739999771118164,0.0,13644.0,0.0,0.0,0.0,0.0,36207924.0,13499216.0,5100000.0,0.0,22920000.0,2100000.0,0.0
2018-05-08,5945.674692694129,14530.919522843862,0.0,0.0,0.0,9.010106086730957,-79.53224182128906,9.106656074523926,-79.39947509765625,0.5485559597789068,7.5,0.0,17605.0,0.0,0.0,0.0,540000.0,42664414.0,12797317.0,2160000.0,0.0,18540000.0,1500000.0,1500000.0
2018-05-09,4364.12868943693,14970.669749557972,0.0,0.0,0.0,8.930463790893555,-79.6775894165039,9.102749824523926,-79.39947509765625,1.3566423523501765,18.9455509185791,0.20609140396118164,11903.0,0.0,0.0,0.0,1804303.0,66385861.0,7522316.0,0.0,0.0,0.0,0.0,0.0
2018-05-10,6999.32658638338,11737.291674440557,0.0,0.0,0.0,9.019679069519043,-79.5322265625,9.106908798217773,-79.39978790283203,0.5050324301513655,23.209999084472656,0.0,14361.0,0.0,0.0,0.0,0.0,35850877.0,20753245.0,2040000.0,0.0,21780000.0,1740000.0,0.0
2018-05-11,8956.155521875844,24635.431740258653,0.0,0.0,0.0,9.019654273986816,-79.5328369140625,9.106654167175293,-79.39922332763672,0.4800185533431649,9.696592330932617,0.0,17174.0,0.0,0.0,0.0,982218.0,36926879.0,20056427.0,3660000.0,0.0,18840000.0,3780000.0,120000.0
2018-05-12,8042.574384506851,18156.051005926798,0.0,0.0,0.0,8.958909034729004,-79.54002380371094,9.106731414794922,-79.39863586425781,0.4957967842991932,68.0,0.0,18058.0,0.0,0.0,0.0,0.0,22694023.0,20457971.0,4680000.0,0.0,28920000.0,6900000.0,0.0
2018-05-13,4273.291283621053,3549.3383831930864,0.0,0.0,0.0,9.07777500152588,-79.41667938232422,9.107054710388184,-79.39944458007812,0.1695597893750624,1.4179838895797732,0.0,5770.0,0.0,0.0,0.0,2313834.0,40536235.0,6461487.0,0.0,0.0,28200000.0,3900000.0,180000.0
2018-05-14,4685.662872100083,6516.996953419436,0.0,0.0,0.0,9.019747734069824,-79.53229522705078,9.106992721557617,-79.39945220947266,0.7687239792549121,16.0,0.2184883654117584,12153.0,0.0,0.0,0.0,779440.0,65777186.0,10550018.0,0.0,0.0,0.0,0.0,0.0
2018-05-15,4341.610951183515,8015.285470962524,0.0,0.0,0.0,8.98373794555664,-79.53228759765625,9.107014656066896,-79.3997802734375,1.3118529226021858,30.399999618530273,0.2623896896839142,11954.0,0.0,0.0,0.0,0.0,67654702.0,9328855.0,0.0,0.0,0.0,0.0,0.0
2018-05-16,7433.536346634147,10680.382476568222,0.0,0.0,0.0,9.010550498962402,-79.47776794433594,9.107300758361816,-79.40019989013672,0.3672198320535841,9.859999656677246,0.0,14548.0,0.0,0.0,0.0,0.0,45183353.0,16318354.0,5280000.0,0.0,10320000.0,6000000.0,0.0
2018-05-17,4764.480465219458,9107.499668687582,0.0,0.0,0.0,9.014840126037598,-79.53242492675781,9.10235595703125,-79.39983367919922,0.7969240128212601,10.0,0.0,13729.0,0.0,0.0,0.0,0.0,65058777.0,11807629.0,0.0,0.0,0.0,0.0,0.0
2018-05-18,6766.480145571096,13320.395795495833,0.0,0.0,0.0,8.973837852478027,-79.56133270263672,9.107295989990234,-79.3998794555664,0.6148920037900905,20.170000076293945,0.0,12960.0,0.0,0.0,0.0,0.0,34894674.0,17898030.0,1860000.0,0.0,21060000.0,1920000.0,0.0
2018-05-19,9700.50319333245,15445.579158600727,0.0,0.0,0.0,9.050034523010254,-79.4524154663086,9.107057571411133,-79.39946746826172,0.278103179454539,7.652976512908935,0.0,14393.0,0.0,0.0,0.0,0.0,21499079.0,14400079.0,11220000.0,0.0,30720000.0,4020000.0,2700000.0
2018-05-20,5998.203623133828,4793.765938373323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12080331701871345,0.4833333194255829,0.0,6527.0,0.0,0.0,0.0,0.0,33103620.0,11580000.0,3540000.0,36300000.0,1440000.0,0.0,120000.0
2018-05-21,9777.520477558555,18038.586833341367,0.0,0.0,0.0,9.020339965820312,-79.53211975097656,9.106401443481444,-79.39949798583984,0.5479142059976085,16.700000762939453,0.0,17891.0,0.0,0.0,0.0,810288.0,25387591.0,15987583.0,11520000.0,0.0,21660000.0,6540000.0,0.0
2018-05-22,7697.700943680309,13541.276022604687,0.0,0.0,0.0,9.01571273803711,-79.47232055664062,9.106613159179688,-79.39949798583984,0.3315424754749289,6.0,0.0,15183.0,0.0,0.0,0.0,0.0,28098011.0,20946129.0,3840000.0,0.0,23400000.0,4200000.0,840000.0
2018-05-23,7804.364443226371,14653.458276275762,0.0,0.0,0.0,8.961084365844727,-79.54973602294922,9.106671333312988,-79.37014770507812,0.8549556705771132,16.530000686645508,0.0,16288.0,0.0,0.0,0.0,0.0,23278302.0,17447096.0,5640000.0,0.0,21300000.0,3900000.0,0.0
2018-05-24,6030.234574803477,9918.789490283703,0.0,0.0,0.0,8.96179485321045,-79.54072570800781,9.107102394104004,-79.39997863769531,0.4644130658694822,13.43000030517578,0.0,12973.0,0.0,0.0,0.0,0.0,35237144.0,12491605.0,3120000.0,0.0,19200000.0,4020000.0,0.0
2018-05-25,6178.584981196862,11022.2548290241,0.0,0.0,0.0,9.02230167388916,-79.46881866455078,9.107173919677734,-79.39930725097656,0.5098176604263353,6.544987678527832,0.0,13537.0,0.0,0.0,0.0,0.0,42444461.0,13401507.0,2760000.0,0.0,19740000.0,3000000.0,0.0
2018-05-26,6430.789160100088,25701.316720724102,0.0,0.0,0.0,9.062098503112793,-79.4306869506836,9.107293128967283,-79.34953308105469,1.2541735346528131,33.83078384399414,0.07004205882549286,13281.0,0.0,0.0,0.0,1581821.0,66777964.0,14106067.0,0.0,0.0,0.0,0.0,0.0
